club_name,categories,club_page,ig, discord 
A Cappella Club,"Creative Arts, Dance and Music",240,uwacc/
ACE - A Cappella Affiliate,"Creative Arts, Dance and Music",489,uw_ace/
African Student Association (ASA),Cultural,6,https://instagram.com/_uwasa
AfroXDance Club,"Creative Arts, Dance and Music; Cultural; Games, Recreational and Social",225,https://instagram.com/_afroxdance_
Amnesty International,"Charitable, Community Service & International Development; Political and Social Awareness",436,aihumanrights.uw
Animal Rights Society,"Charitable, Community Service & International Development",12,uwanimalrights
Animusic Ensembles,"Creative Arts, Dance and Music",280,uw_animusic
Ascend Canada Waterloo Chapter,Academic; Business and Entrepreneurial; Cultural,302,https://instagram.com/ascenduw
Association of Caribbean Students,Cultural,15,https://instagram.com/uwaterlooacs
Association of Korean Canadian Scientists and Engineers,Academic,354,Not found
Aviation Society,Academic; Business and Entrepreneurial,360,uw_aviation
"Breakers,UW","Creative Arts, Dance and Music",23,https://instagram.com/uw_breakers
"Buddha's Light Community Club, UW",Religious and Spiritual,25,Not found
Campus Association for Baháʼí Studies at UW (CABS),Religious and Spiritual,28,https://instagram.com/cabsuw
"Campus Compost, UW",Environmental and Sustainability,533,uwcampuscompost
Campus Crusade for Cheese,"Games, Recreational and Social",30,uwcheeseclub/
CariVybz Dance Company,"Creative Arts, Dance and Music; Cultural",544,uwcarivybz
"Chess Club, UW","Games, Recreational and Social",34,uw.chess.club
"Chinese Christian Fellowship, UW",Religious and Spiritual,36,uwccf/
Chinese Hip-Hop(Rap) Club,"Creative Arts, Dance and Music",523,Not found
"Chinese Students Association (CSA), UW",Cultural,40,uwcsa/
Christian Orthodox Campus-Ministry Association,Religious and Spiritual,235,Not found
Club That Really Likes Anime (CTRL-A),"Games, Recreational and Social",44,ctrla.uw/
"Concert Band, UW","Creative Arts, Dance and Music",47,uwconcertbandclub/
"Cooking Club, UW","Cultural; Games, Recreational and Social; Health Promotion",48,uwcookingclub/
Crafts 4 Charity,"Charitable, Community Service & International Development; Creative Arts, Dance and Music",49,uw.crafts4charity
Creative Writing Club,"Creative Arts, Dance and Music; Media, Publications and Web Development",51,uwcreativewriting
Creators Collective,"Business and Entrepreneurial; Creative Arts, Dance and Music; Media, Publications and Web Development",462,uwcreatorscollective/
CUBE,"Academic; Business and Entrepreneurial; Creative Arts, Dance and Music; Media, Publications and Web Development",565,uw.cube
"Culture and Language Exchange Club, UW (UWCLEC)","Charitable, Community Service & International Development; Cultural",53,https://instagram.com/uwclecwaterloo
"Debate Society, UW (Debating Association)",Academic; Political and Social Awareness,59,https://instagram.com/uwdebate
Deception Board Games Club,"Games, Recreational and Social",61,uwdeception
"DJ Club, UW","Creative Arts, Dance and Music",64,uwaterloodj
Eastern Orthodox Students Association (EOSA),Religious and Spiritual,572,Not found
Egyptian Student Association,Cultural,559,esawaterloo
Fashion for Change,"Charitable, Community Service & International Development; Creative Arts, Dance and Music",76,fashionforchange
Fighting Game Club (UWFGC),"Games, Recreational and Social",78,Not found
"Films, UW (Former Films Creator Club)","Creative Arts, Dance and Music; Games, Recreational and Social; Media, Publications and Web Development",81,uwfilmclub_/
"Finance Association (WIREX/Capital Markets), UW",Business and Entrepreneurial,82,https://instagram.com/uwfinance
Game Development Club,"Games, Recreational and Social; Media, Publications and Web Development",261,uwgamedev/
Global Brigades - Business Brigades,"Business and Entrepreneurial; Charitable, Community Service & International Development",252,globalbusinessbrigadesuw
Global Brigades - Medical Brigades,"Charitable, Community Service & International Development; Environmental and Sustainability; Health Promotion",323,uwglobalmedicalbrigades
Gujarati Students Association (GSA),Cultural,439,https://instagram.com/uw.gsa
HanVoice Waterloo,"Charitable, Community Service & International Development; Cultural; Political and Social Awareness",418,https://instagram.com/hanvoicewaterloo
Her Campus Waterloo,"Business and Entrepreneurial; Games, Recreational and Social; Media, Publications and Web Development; Political and Social Awareness",100,https://instagram.com/hcwaterloo
Hera.co,"Business and Entrepreneurial; Games, Recreational and Social; Media, Publications and Web Development; Political and Social Awareness",477,https://instagram.com/itshera.co
Hillel Waterloo,Religious and Spiritual,390,http://www.instagram.com/hillelwaterloolaurier
Hindu Students Council at the University of Waterloo,Religious and Spiritual,494,https://instagram.com/uw.hsc
"Hip Hop, UW","Creative Arts, Dance and Music; Games, Recreational and Social",102,https://instagram.com/uwhiphop
Hong Kong Students' Association,"Cultural; Games, Recreational and Social",257,uwaterloohksa
Humans vs. Zombies Society,"Games, Recreational and Social",246,https://instagram.com/uwhvz
Hydroponics Club,Business and Entrepreneurial; Environmental and Sustainability; Health Promotion,425,uw_hydroponics
"Improv Club, UW","Games, Recreational and Social",106,https://instagram.com/uwimprovisation/
"Indian Cultural Association, UW",Cultural,107,https://instagram.com/uwindianca
Iranian Students' Association of Waterloo,"Charitable, Community Service & International Development; Cultural",293,isaw.ca
Jamnetwork,"Academic; Creative Arts, Dance and Music; Games, Recreational and Social",396,jamnetwork_uw/
Karol Wojtyla Club,Religious and Spiritual,249,Not found
Kingdom Come,Religious and Spiritual,328,kc_waterloo/
Korean Catholic Gathering,Cultural; Religious and Spiritual,115,Not found
Korean Christian Fellowship,Religious and Spiritual,116,kcfwaterloo/
Latin American Student Association (LASA),"Cultural; Games, Recreational and Social",537,uw.lasa/
Law & Business Nexus (LBN),Business and Entrepreneurial,555,uwlawbusinessnexus
Make-A-Wish UWaterloo Chapter,"Charitable, Community Service & International Development",484,https://instagram.com/uwmakeawishcanada
Malaysian and Singaporean Association,Cultural,536,uwmssa
Mambo Club,"Creative Arts, Dance and Music; Games, Recreational and Social",123,uwmambo
Mandarin Chinese Christian Fellowship,Cultural; Religious and Spiritual,125,https://instagram.com/uwmccf
"Marketing Association, UW",Business and Entrepreneurial,259,uw.marketing
Mock Trial Club,Academic; Political and Social Awareness,524,uwaterloomocktrial/
"Model United Nations, UW",Academic,131,uwmun/
Musical Interdudes - A Cappella Affiliate,"Creative Arts, Dance and Music",244,themusicalinterdudes
Muslim Students Association - Orphan Sponsorship Program,"Charitable, Community Service & International Development",419,Not found
Muslim Students' Association (MSA),Cultural; Religious and Spiritual,133,uwmsa/
Nepalese Students Association,Cultural,573,uwaterloonsa
North African Student Association,"Creative Arts, Dance and Music; Cultural; Games, Recreational and Social; Political and Social Awareness",552,nasawaterloo
One Step At A Time,"Charitable, Community Service & International Development; Health Promotion; Political and Social Awareness",553,onestepatatime.uw
"osu! Club, UW","Games, Recreational and Social",367,Not found
Pakistani Students' Association,Cultural,143,https://instagram.com/psa.uw
"Photography Club, UW","Academic; Business and Entrepreneurial; Charitable, Community Service & International Development; Creative Arts, Dance and Music; Cultural; Environmental and Sustainability; Games, Recreational and Social; Health Promotion; Media, Publications and Web Development",144,uwphotographyclub/
Pokemon Club,"Games, Recreational and Social",531,uw_ptcg
Polish Society of UW,Cultural,286,polishsocietyuw
Power to Change (Campus Crusade for Christ),Religious and Spiritual,149,https://instagram.com/p2cwaterloo
Product Management Club,Business and Entrepreneurial,262,uwaterloopm/
Riichi Mahjong UW (RMUW),"Games, Recreational and Social",541,uwriichi_mahjong
Romanian Student Association,"Creative Arts, Dance and Music; Cultural; Games, Recreational and Social",554,uw.rsa
"Rubik's Cube Club (formerly twisty puzzles), UW","Games, Recreational and Social",162,Not found
Serbian Student Association,Cultural,237,uwserbianstudentassociation
Sikh Students Association (SSA),Religious and Spiritual,167,Not found
"Smash, UW","Games, Recreational and Social",170,Not found
