club_name,club_page,insta_url
A Cappella Club,https://clubs.wusa.ca/clubs/240,https://www.instagram.com/uwacc/
ACE - A Cappella Affiliate,https://clubs.wusa.ca/clubs/489,https://www.instagram.com/uw_ace/
African Student Association (ASA),https://clubs.wusa.ca/clubs/6,https://instagram.com/_uwasa
AfroXDance Club,https://clubs.wusa.ca/clubs/225,https://instagram.com/_afroxdance_
Amnesty International,https://clubs.wusa.ca/clubs/436,https://www.instagram.com/aihumanrights.uw
Animal Rights Society,https://clubs.wusa.ca/clubs/12,https://www.instagram.com/uwanimalrights
Animusic Ensembles,https://clubs.wusa.ca/clubs/280,https://www.instagram.com/uw_animusic
Ascend Canada Waterloo Chapter,https://clubs.wusa.ca/clubs/302,https://instagram.com/ascenduw
Association of Caribbean Students,https://clubs.wusa.ca/clubs/15,https://instagram.com/uwaterlooacs
Association of Korean Canadian Scientists and Engineers,https://clubs.wusa.ca/clubs/354,Not found
Aviation Society,https://clubs.wusa.ca/clubs/360,https://www.instagram.com/uw_aviation
"Breakers,UW",https://clubs.wusa.ca/clubs/23,https://instagram.com/uw_breakers
"Buddha's Light Community Club, UW",https://clubs.wusa.ca/clubs/25,Not found
CUBE,https://clubs.wusa.ca/clubs/565,https://www.instagram.com/uw.cube
Campus Association for Baháʼí Studies at UW (CABS),https://clubs.wusa.ca/clubs/28,https://instagram.com/cabsuw
"Campus Compost, UW",https://clubs.wusa.ca/clubs/533,https://www.instagram.com/uwcampuscompost
Campus Crusade for Cheese,https://clubs.wusa.ca/clubs/30,https://www.instagram.com/uwcheeseclub/
CariVybz Dance Company,https://clubs.wusa.ca/clubs/544,https://www.instagram.com/uwcarivybz
"Chess Club, UW",https://clubs.wusa.ca/clubs/34,https://www.instagram.com/uw.chess.club
"Chinese Christian Fellowship, UW",https://clubs.wusa.ca/clubs/36,https://www.instagram.com/uwccf/
Chinese Hip-Hop(Rap) Club,https://clubs.wusa.ca/clubs/523,Not found
"Chinese Students Association (CSA), UW",https://clubs.wusa.ca/clubs/40,https://www.instagram.com/uwcsa/
Christian Orthodox Campus-Ministry Association,https://clubs.wusa.ca/clubs/235,Not found
